scientificName,decimalLatitude,decimalLongitude,Record
Eugonus particolor,16.8994,-89.8995,Specimen_New
Eugonus subcylindricus,16.8994,-89.8995,Specimen_New
Eugonus subcylindricus,15.4000,-89.1333,Specimen_Previous
Eugonus subcylindricus,15.4000,-89.9167,Specimen_Previous
Eugonus subcylindricus,15.3167,-89.9333,Specimen_Previous
Eugonus subcylindricus,15.4167,-89.2167,Specimen_Previous
Phaenithon championi,15.1333,-90.1833,Specimen_Previous
Phaenithon curvipes,15.4167,-89.2167,Specimen_Previous
Phaenithon curvipes,15.3333,-90.2333,Specimen_Previous
Phaenithon curvipes,14.5500,-91.7833,Specimen_Previous
Phaenithon curvipes,14.4667,-91.4667,Specimen_Previous
Phaenithon curvipes,14.7000,-91.7500,Specimen_Previous
Phaenithon curvipes,14.2333,-90.7000,Specimen_Previous
Phaenithon curvipes,16.2847,-89.4203,Specimen_New
Phaenithon curvipes,17.0780,-89.6825,Specimen_New
Phaenithon jucundus,17.0762,-89.6837,Specimen_New
Phaenithon nigritarsis,15.1333,-90.1833,Specimen_Previous
Phaenithon semigriseus,15.4167,-89.2167,Specimen_Previous
Phaenithon semigriseus,15.3167,-89.9333,Specimen_Previous
Phaenithon semigriseus,15.1333,-90.1833,Specimen_Previous
Phaenithon semigriseus,14.4667,-91.4667,Specimen_Previous
Phaenithon semigriseus,14.7000,-91.7500,Specimen_Previous
Phaenithon semigriseus,14.2333,-90.7000,Specimen_Previous
Phaenithon semigriseus,16.8747,-89.8158,Specimen_New
Nemotrichus inermis,15.4057,-88.7336,Specimen_New
Nemotrichus inermis,15.4057,-88.7336,Specimen_New
Nemotrichus inermis,15.4057,-88.7336,Specimen_New
Nemotrichus inermis,15.4057,-88.7336,Specimen_New
Nemotrichus inermis,15.4057,-88.7336,Specimen_New
Nemotrichus inermis,15.3642,-88.6911,Specimen_New
Nemotrichus inermis,15.3621,-88.6881,Specimen_New
Nemotrichus inermis,14.5167,-91.1333,Specimen_New
Nemotrichus inermis,14.5167,-91.1333,Specimen_New
Nemotrichus inermis,14.5167,-91.1333,Specimen_New
Nemotrichus inermis,14.5167,-91.1333,Specimen_New
Euparius championi,14.9000,-91.3667,Specimen_Previous
Euparius coelebs,14.5333,-90.7833,Specimen_Previous
Euparius placidus,14.8333,-91.8667,Specimen_Previous
Euparius torquatus,15.4000,-89.1333,Specimen_Previous
Euparius torquatus,15.3833,-89.8333,Specimen_Previous
Euparius torquatus,15.4167,-89.2167,Specimen_Previous
Euparius torquatus,14.8333,-91.8667,Specimen_Previous
Euparius torquatus,14.5500,-91.7833,Specimen_Previous
Euparius torquatus,14.4667,-91.4667,Specimen_Previous
Euparius torquatus,14.3833,-90.8667,Specimen_Previous
Discotenes cylindratus,15.1333,-90.1833,Specimen_Previous
Discotenes cylindratus,15.3333,-90.2333,Specimen_Previous
Discotenes cylindratus,15.3333,-89.9500,Specimen_Previous
Discotenes cylindratus,15.3167,-90.1167,Specimen_Previous
Discotenes imitans,14.7000,-91.7500,Specimen_Previous
Discotenes imitans,14.7167,-91.4833,Specimen_Previous
Discotenes nigrotuberculata,14.4833,-90.8000,Specimen_Previous
Discotenes nigrotuberculata,14.4667,-90.9500,Specimen_Previous
Discotenes nigrotuberculata,14.7167,-91.4833,Specimen_Previous
Discotenes nigrotuberculata,14.5667,-90.7333,Specimen_New
Discotenes picticollis,15.1333,-90.1833,Specimen_Previous
Discotenes picticollis,14.7167,-91.4833,Specimen_Previous
Discotenes picticollis,14.5667,-91.1833,Specimen_Previous
Eucyclotropis gibbosa,15.1333,-90.1833,Specimen_Previous
Eucyclotropis gibbosa,15.0637,-89.8904,Specimen_New
Eucyclotropis gibbosa,15.0637,-89.8904,Specimen_New
Eucyclotropis gibbosa,15.0637,-89.8904,Specimen_New
Gymnognathus abundans,15.1333,-90.1833,Specimen_Previous
Gymnognathus abundans,14.5167,-91.1333,Specimen_New
Gymnognathus pulcher,15.1333,-90.1833,Specimen_Previous
Meconemus championi,14.7000,-91.7500,Specimen_Previous
Meconemus championi,14.3833,-90.8667,Specimen_Previous
Meconemus championi,14.3333,-91.0000,Specimen_Previous
Meconemus championi,15.4167,-89.2167,Specimen_Previous
Meconemus championi,14.5229,-91.1362,Specimen_New
Meconemus championi,14.5229,-91.1362,Specimen_New
Meconemus championi,14.5229,-91.1362,Specimen_New
Meconemus championi,14.5229,-91.1362,Specimen_New
Meconemus championi,14.5229,-91.1362,Specimen_New
Meconemus championi,14.5229,-91.1362,Specimen_New
Meconemus championi,14.5229,-91.1362,Specimen_New
Meconemus nr. consors,14.5305,-91.1353,Specimen_New
Meconemus griseatus,14.7167,-91.4833,Specimen_Previous
Meconemus tuberculatus,15.4000,-89.1333,Specimen_Previous
Meconemus tuberculatus,15.4167,-89.2167,Specimen_Previous
Meconemus tuberculatus,15.3833,-89.8333,Specimen_Previous
Meconemus tuberculatus,15.3167,-89.9333,Specimen_Previous
Meconemus tuberculatus,15.4000,-89.9167,Specimen_Previous
